syntitem,pointitem,offset
hsi_3_0715_210_010_main__ggpt__257,st1_mirrored.7758_8082_1.05stretch,0.01649999999999996
hsi_5_0718_210_002_main__ggpt__259,st1_mirrored.8457_8944,-0.563
hsi_3_0715_227_004_main__ggpt__265,st1_mirrored.9453_9745_1.11stretch,-0.3668999999999999
hsi_7_0719_209_001_main__ggpt__267,st1_mirrored.26061_26416_1.13stretch,-1.5054
hsi_4_0717_211_002_main__ggpt__275,st1_mirrored.14865_15137_0.89stretch,-0.5273000000000001
hsi_7_0719_227_002_main__ggpt__278,st2_mirrored.11976_12272_1.21stretch,0.011399999999999966
hsi_5_0718_210_001_main__ggpt__280,st2.1527_1810_0.82stretch,-1.1734
hsi_4_0717_209_001_main__ggpt__281,st1.7376_7753_0.86stretch,0.017000000000000015
hsi_6_0718_222_003_main__ggpt__283,st1.25173_25609_0.96stretch,-0.4616
hsi_6_0718_227_001_main__ggpt__286,st2_mirrored.1527_1810_1.22stretch,0.013599999999999945
hsi_3_0715_210_011_main__ggpt__298,st1.22983_23268_0.86stretch,-0.4373999999999998
hsi_4_0717_210_003_main__ggpt__299,st1_mirrored.23661_23983_1.31stretch,-0.4981
hsi_7_0719_211_004_main__ggpt__300,st1_mirrored.17235_17589_1.11stretch,0.0014000000000000679
hsi_4_0717_222_003_main__ggpt__301,st1.15138_15625_0.87stretch,-0.861
hsi_5_0718_209_002_main__ggpt__306,st1.27774_28020_0.87stretch,-1.3304999999999998
hsi_6_0718_209_003_main__ggpt__307,st1.17594_17971_0.91stretch,0.027800000000000047
hsi_6_0718_209_001_main__ggpt__309,st2.9428_9874,-0.4079999999999999
hsi_4_0717_211_001_main__ggpt__311,st1_mirrored.25614_26056,-1.343
hsi_4_0717_209_003_main__ggpt__314,st1_mirrored.7376_7753_1.12stretch,-0.5329999999999997
hsi_7_0719_210_002_main__ggpt__317,st2_mirrored.7431_7795,0.03699999999999992
hsi_6_0718_210_002_main__ggpt__338,st1.14865_15137,-0.588
hsi_4_0717_210_001_main__ggpt__343,st1.19997_20370_1.16stretch,-0.9490000000000001
hsi_6_0718_222_001_main__ggpt__356,st1_mirrored.25173_25609_1.07stretch,-1.869
hsi_5_0718_210_001_main__ggpt__386,st1_mirrored.11922_12193_0.9stretch,-0.806
hsi_4_0717_209_001_main__ggpt__387,st1_mirrored.22983_23268_1.31stretch,0.015200000000000324
hsi_5_0718_211_003_main__ggpt__388,st1_mirrored.8949_9448_0.92stretch,-0.6549999999999998
